OBS,VNM_OGI_RCA,VNM_PR_RCA,VNM_IPR_A_RCA,VNM_RC_A_RCA
2000,28116.002656752,,,
2001,38268.405269103,,,
2002,47512.683202697,,,
2003,67993.369544373,,,
2004,66469.052090915,,,
2005,83286.395835361,,,
2006,92840.595897839,,,
2007,124810.063574932,,,
2008,152605.263422406,,,
2009,225978.633077936,,,
2010,240500.264056125,33.681422246,0.075813208,
2011,251520.525455859,32.720477345,-0.124570835,0.182948636
2012,343212.000000000,30.636030000,-0.067412825,0.077125015
2013,385053.500000000,28.631010000,-0.013842547,-0.012736911
2014,370489.300000000,27.538890000,0.054440715,-0.026662500
2015,421640.600000000,23.676320000,-0.025764248,-0.222298515
2016,402237.000000000,22.884250000,0.051165621,-0.008424972
2017,431377.500000000,20.982730000,0.005681504,0.176789746
2018,449982.200000000,19.033210000,0.025696141,-0.159404410
2019,588441.300000000,17.332660000,0.098138402,-0.343516787
2020,614250.000000000,18.594660000,-0.038269985,-0.088855441
2021,966802.300000000,20.527120000,-0.037636180,0.031998720
2022,1044752.000000000,21.249120000,0.073453412,-0.022208257
2023,1133538.000000000,21.882840000,0.069980696,-0.024712929
2024,1235555.000000000,22.511380000,0.027990644,-0.025696814
2025,1346789.000000000,23.145010000,0.034346698,-0.023309970
2026,1469768.000000000,23.794140000,0.033721079,-0.026962645
2027,1578921.000000000,24.454460000,0.018094016,-0.032157519
2028,1695748.000000000,25.076240000,0.006968747,-0.030440761
2029,1819866.000000000,25.715010000,0.003822217,-0.030307357
2030,1951317.000000000,26.368820000,0.002550273,-0.030408357
2031,2355001.000000000,27.034030000,0.002665857,0.042587895
2032,2506749.000000000,27.710940000,0.004363895,0.041660429
2033,2667355.000000000,28.399560000,0.004519503,0.041661302
2034,2837417.000000000,29.099540000,0.005038020,0.041659423
2035,3017520.000000000,29.810850000,0.005608686,0.041535758
2036,3204317.000000000,30.533190000,0.005609531,0.040798349
2037,3403705.000000000,31.270290000,0.004458659,0.041496460
2038,3614416.000000000,32.019480000,0.005089507,0.041396522
2039,3837108.000000000,32.780760000,0.005499930,0.041346485
2040,4072468.000000000,33.554150000,0.005961010,0.041425628
2041,4316598.000000000,34.339100000,0.005921898,0.040676403
2042,4576403.000000000,35.138070000,0.005073361,0.041215447
2043,4850306.000000000,35.949870000,0.005641309,0.041111348
2044,5138969.000000000,36.774680000,0.006008153,0.041037436
2045,5443129.000000000,37.612670000,0.006387174,0.041065014
2046,5751835.000000000,38.463650000,0.006030360,0.039786322
2047,6081846.000000000,39.328450000,0.003863598,0.040846302
2048,6428085.000000000,40.206230000,0.004312152,0.040687584
2049,6791165.000000000,41.097610000,0.004392816,0.040594622
2050,7171807.000000000,42.002910000,0.004493638,0.040696208
