OBS,VNM_GCARBR_CTN,VNM_SHAREX_CTN,VNM_SHARESP_CTN,VNM_SHAREE_CTN,VNM_SHAREH_CTN,VNM_LRXF_CTN,VNM_URX_A
2000,,0,0,0,0,0.82067909,
2001,,0,0,0,0,0.82165173,
2002,,0,0,0,0,0.82153072,
2003,,0,0,0,0,0.82015837,
2004,,0,0,0,0,0.81885051,
2005,,0,0,0,0,0.81827856,
2006,,0,0,0,0,0.81616356,
2007,,0,0,0,0,0.81482907,
2008,,0,0,0,0,0.81446201,
2009,,0,0,0,0,0.8139086,
2010,-22.87053271,0,0,0,0,0.8115656,0
2011,-25.91898172,0,0,0,0,0.8111884,0
2012,-35.03266,0,0,0,0,0.8153498,-3.39E-06
2013,-11.62235,0,0,0,0,0.8252107,2.51E-06
2014,-6.488929,0,0,0,0,0.827383,1.24E-05
2015,-0.4053944,0,0,0,0,0.8251649,5.86E-06
2016,-0.552451,0,0,0,0,0.8236732,8.65E-06
2017,-1.002955,0,0,0,0,0.8252751,-9.94E-06
2018,-2.888442,0,0,0,0,0.8283201,1.25E-05
2019,-1.231542,0,0,0,0,0.8266913,-6.53E-06
2020,-1.231542,0,0,0,0,0.8328402,-1.01E-05
2021,-13.9,0,0,0,0,0.8352053,1.03E-05
2022,5.05,0,0,0,0,0.8379637,-5.72E-07
2023,25,0,0,0,0,0.8409997,-2.60E-06
2024,28.82353,0,0,0,0,0.8442728,2.16E-08
2025,32.64706,0,0,0,0,0.8477469,-5.50E-06
2026,36.47059,0,0,0,0,0.8514306,2.08E-06
2027,40.29412,0,0,0,0,0.8578051,-1.12E-06
2028,44.11765,0,0,0,0,0.8619913,-3.02E-07
2029,47.94118,0,0,0,0,0.8647405,-9.28E-06
2030,51.76471,0,0,0,0,0.866546,3.01E-06
2031,55.58824,0,0,0,0,0.8677317,-5.96E-07
2032,59.41176,0,0,0,0,0.8685103,-8.58E-06
2033,63.23529,0,0,0,0,0.8690217,5.20E-06
2034,67.05882,0,0,0,0,0.8693575,3.65E-06
2035,70.88235,0,0,0,0,0.8695781,9.79E-06
2036,74.70588,0,0,0,0,0.8697229,1.11E-06
2037,78.52941,0,0,0,0,0.869818,6.65E-06
2038,82.35294,0,0,0,0,0.8698805,-4.33E-06
2039,86.17647,0,0,0,0,0.8699215,1.12E-05
2040,90,0,0,0,0,0.8699485,7.78E-06
2041,90,0,0,0,0,0.8699662,-1.12E-05
2042,90,0,0,0,0,0.8699778,-4.69E-06
2043,90,0,0,0,0,0.8699854,9.52E-07
2044,90,0,0,0,0,0.8699904,-1.34E-05
2045,90,0,0,0,0,0.8699937,-1.07E-05
2046,90,0,0,0,0,0.8699959,-6.91E-07
2047,90,0,0,0,0,0.8699973,8.88E-06
2048,90,0,0,0,0,0.8699982,-1.18E-05
2049,90,0,0,0,0,0.8699988,5.68E-06
2050,90,0,0,0,0,0.8699992,6.43E-07
